Site ID;Site Name;CT ID;CT Name;CT Type;Section ID;Section Name;Machine ID;Machine Name;Mach Type;Cal ID;Cap Cal ID
2;MACHINE WORKS;ASSEMBLY;QA;2;4;ASSEMBLY;ASSEMBLY;QA;NR;38;
2;MACHINE WORKS;FURNACE;COATING & PAINTING;2;3;WARHEAD PRODUCTION;FURNACE1;COATING STATION;BA;39;
2;MACHINE WORKS;FURNACE;COATING & PAINTING;2;3;WARHEAD PRODUCTION;FURNACE2;PAINTING STATION;BA;39;
2;MACHINE WORKS;GRINDING;WATER JET;2;2;MACHINING SECTION;GRINDING;WATER JET;NR;38;
2;MACHINE WORKS;LATHE;CNC;2;2;MACHINING SECTION;LATHE #1;CNC #1;NR;38;
2;MACHINE WORKS;LATHE;CNC;2;2;MACHINING SECTION;LATHE #2;CNC #2;NR;38;
2;MACHINE WORKS;MC;SHEET METAL;2;2;MACHINING SECTION;MC;SHEET METAL;NR;38;
2;MACHINE WORKS;MILLING;ASSEMBLY;2;1;FORGING WORKS;MILL #1;PRIMARY ASSEMBLY;NR;38;
2;MACHINE WORKS;MILLING;ASSEMBLY;2;2;MACHINING SECTION;MILL #2;WARHEAD ASSEMBLY;NR;38;
2;MACHINE WORKS;PACKAGING;QA;2;4;ASSEMBLY;PACKAGING;QA;NR;28;
DEFAULT;Default;STAND-BY;STAND-BY;4;;;STAND-BY;STAND-BY;NR;;
2;MACHINE WORKS;SCONT;Sub-Contracting;4;5;SUB-CONTRACTING;SUBCONT;Subcontract;NR;;
2;MACHINE WORKS;ZAMBONI;CLEANING;2;6;CLEANING;CLEANING;CLEANING;NR;;
