TIPO;ID;NOME;DIA_INICIO;HORA_INICIO;DIA_FIM;HORA_FIM
CAL;1;Calendar EARLY;1;00:06;1;00:14
CAL;1;Calendar EARLY;2;00:06;2;00:14
CAL;1;Calendar EARLY;3;00:06;3;00:14
CAL;1;Calendar EARLY;4;00:06;4;00:14
CAL;1;Calendar EARLY;5;00:06;5;00:13
CAL;18;Calendar 1x8h;1;00:08;1;00:12
CAL;18;Calendar 1x8h;1;00:13;1;00:17
CAL;18;Calendar 1x8h;2;00:08;2;00:12
CAL;18;Calendar 1x8h;2;00:13;2;00:17
CAL;18;Calendar 1x8h;3;00:08;3;00:12
CAL;18;Calendar 1x8h;3;00:13;3;00:17
CAL;18;Calendar 1x8h;4;00:08;4;00:12
CAL;18;Calendar 1x8h;4;00:13;4;00:17
CAL;18;Calendar 1x8h;5;00:08;5;00:12
CAL;18;Calendar 1x8h;5;00:13;5;00:17
CAL;2;Calendar DAYS;1;00:14;1;00:22
CAL;2;Calendar DAYS;2;00:14;2;00:22
CAL;2;Calendar DAYS;3;00:14;3;00:22
CAL;2;Calendar DAYS;4;00:14;4;00:22
CAL;2;Calendar DAYS;5;00:13;5;00:20
CAL;28;Calendar 2x8h;1;00:06;1;00:14
CAL;28;Calendar 2x8h;1;00:14;1;00:22
CAL;28;Calendar 2x8h;2;00:06;2;00:14
CAL;28;Calendar 2x8h;2;00:14;2;00:22
CAL;28;Calendar 2x8h;3;00:06;3;00:14
CAL;28;Calendar 2x8h;3;00:14;3;00:22
CAL;28;Calendar 2x8h;4;00:06;4;00:14
CAL;28;Calendar 2x8h;4;00:14;4;00:22
CAL;28;Calendar 2x8h;5;00:06;5;00:13
CAL;28;Calendar 2x8h;5;00:13;5;00:20
CAL;3;Calendar NIGHT;1;00:22;2;00:06
CAL;3;Calendar NIGHT;2;00:22;3;00:06
CAL;3;Calendar NIGHT;3;00:22;4;00:06
CAL;3;Calendar NIGHT;4;00:22;5;00:06
CAL;38;Calendar 3x8h;1;00:06;1;00:22
CAL;38;Calendar 3x8h;1;00:22;2;00:06
CAL;38;Calendar 3x8h;2;00:06;2;00:22
CAL;38;Calendar 3x8h;2;00:22;3;00:06
CAL;38;Calendar 3x8h;3;00:06;3;00:22
CAL;38;Calendar 3x8h;3;00:22;4;00:06
CAL;38;Calendar 3x8h;4;00:06;4;00:22
CAL;38;Calendar 3x8h;4;00:22;5;00:06
CAL;38;Calendar 3x8h;5;00:06;5;00:22
CAL;38;Calendar 3x8h;5;00:22;6;00:06
CAL;39;Calendar Heat Treatm;1;00:00;2;00:00
CAL;39;Calendar Heat Treatm;2;00:00;3;00:00
CAL;39;Calendar Heat Treatm;3;00:00;4;00:00
CAL;39;Calendar Heat Treatm;4;00:00;5;00:00
CAL;39;Calendar Heat Treatm;5;00:00;6;00:00
CAL;39;Calendar Heat Treatm;6;00:00;6;00:20
CAL;STD;Standard;1;00:05;1;00:21
CAL;STD;Standard;2;00:05;2;00:21
CAL;STD;Standard;3;00:05;3;00:21
CAL;STD;Standard;4;00:05;4;00:21
CAL;STD;Standard;5;00:06;5;00:20
TIPO;ID;NOME;DIA_INICIO;HORA_INICIO;DIA_FIM;HORA_FIM
CAL;1;Calendar EARLY;1;00:06;1;00:14
CAL;1;Calendar EARLY;2;00:06;2;00:14
CAL;1;Calendar EARLY;3;00:06;3;00:14
CAL;1;Calendar EARLY;4;00:06;4;00:14
CAL;1;Calendar EARLY;5;00:06;5;00:13
CAL;18;Calendar 1x8h;1;00:08;1;00:12
CAL;18;Calendar 1x8h;1;00:13;1;00:17
CAL;18;Calendar 1x8h;2;00:08;2;00:12
CAL;18;Calendar 1x8h;2;00:13;2;00:17
CAL;18;Calendar 1x8h;3;00:08;3;00:12
CAL;18;Calendar 1x8h;3;00:13;3;00:17
CAL;18;Calendar 1x8h;4;00:08;4;00:12
CAL;18;Calendar 1x8h;4;00:13;4;00:17
CAL;18;Calendar 1x8h;5;00:08;5;00:12
CAL;18;Calendar 1x8h;5;00:13;5;00:17
CAL;2;Calendar DAYS;1;00:14;1;00:22
CAL;2;Calendar DAYS;2;00:14;2;00:22
CAL;2;Calendar DAYS;3;00:14;3;00:22
CAL;2;Calendar DAYS;4;00:14;4;00:22
CAL;2;Calendar DAYS;5;00:13;5;00:20
CAL;28;Calendar 2x8h;1;00:06;1;00:14
CAL;28;Calendar 2x8h;1;00:14;1;00:22
CAL;28;Calendar 2x8h;2;00:06;2;00:14
CAL;28;Calendar 2x8h;2;00:14;2;00:22
CAL;28;Calendar 2x8h;3;00:06;3;00:14
CAL;28;Calendar 2x8h;3;00:14;3;00:22
CAL;28;Calendar 2x8h;4;00:06;4;00:14
CAL;28;Calendar 2x8h;4;00:14;4;00:22
CAL;28;Calendar 2x8h;5;00:06;5;00:13
CAL;28;Calendar 2x8h;5;00:13;5;00:20
CAL;3;Calendar NIGHT;1;00:22;2;00:06
CAL;3;Calendar NIGHT;2;00:22;3;00:06
CAL;3;Calendar NIGHT;3;00:22;4;00:06
CAL;3;Calendar NIGHT;4;00:22;5;00:06
CAL;38;Calendar 3x8h;1;00:06;1;00:22
CAL;38;Calendar 3x8h;1;00:22;2;00:06
CAL;38;Calendar 3x8h;2;00:06;2;00:22
CAL;38;Calendar 3x8h;2;00:22;3;00:06
CAL;38;Calendar 3x8h;3;00:06;3;00:22
CAL;38;Calendar 3x8h;3;00:22;4;00:06
CAL;38;Calendar 3x8h;4;00:06;4;00:22
CAL;38;Calendar 3x8h;4;00:22;5;00:06
CAL;38;Calendar 3x8h;5;00:06;5;00:22
CAL;38;Calendar 3x8h;5;00:22;6;00:06
CAL;39;Calendar Heat Treatm;1;00:00;2;00:00
CAL;39;Calendar Heat Treatm;2;00:00;3;00:00
CAL;39;Calendar Heat Treatm;3;00:00;4;00:00
CAL;39;Calendar Heat Treatm;4;00:00;5;00:00
CAL;39;Calendar Heat Treatm;5;00:00;6;00:00
CAL;39;Calendar Heat Treatm;6;00:00;6;00:20
CAL;STD;Standard;1;00:05;1;00:21
CAL;STD;Standard;2;00:05;2;00:21
CAL;STD;Standard;3;00:05;3;00:21
CAL;STD;Standard;4;00:05;4;00:21
CAL;STD;Standard;5;00:06;5;00:20
